LahmanID,Year,Team,Lg,Playoff,G,AB,R,H,2B,3B,HR,RBI,SH,SF,SB,CS,BB,IBB,HBP,SO,,,,CS,TB
crigelo01,1903,BOS,AL,WS,8,26,1,6,0,0,0,4,,,0,,2,,,3,,,,,6
dinnebi01,1903,BOS,AL,WS,4,12,1,3,0,0,0,0,,,0,,2,,,2,,,,,3
doughpa01,1903,BOS,AL,WS,8,34,3,8,0,2,2,5,,,0,,2,,,6,,,,,18
farredu01,1903,BOS,AL,WS,2,2,0,0,0,0,0,1,,,0,,0,,,0,,,,,0
ferriho01,1903,BOS,AL,WS,8,31,3,9,0,1,0,5,,,0,,0,,,6,,,,,11
freembu01,1903,BOS,AL,WS,8,32,6,9,0,3,0,4,,,0,,2,,,2,,,,,15
hugheto01,1903,BOS,AL,WS,1,0,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
kennebr01,1903,PIT,NL,WS,1,2,0,1,1,0,0,0,,,0,,0,,,0,,,,,2
lachaca01,1903,BOS,AL,WS,8,27,5,6,2,1,0,4,,,0,,3,,,2,,,,,10
leachto01,1903,PIT,NL,WS,8,33,3,9,0,4,0,7,,,1,,1,,,4,,,,,17
leevesa01,1903,PIT,NL,WS,2,4,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
o'brija02,1903,BOS,AL,WS,2,2,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
parenfr01,1903,BOS,AL,WS,8,32,8,9,0,3,0,4,,,0,,1,,,1,,,,,15
phelped01,1903,PIT,NL,WS,8,26,1,6,2,0,0,1,,,0,,1,,,6,,,,,8
phillde01,1903,PIT,NL,WS,5,18,1,4,0,0,0,1,,,0,,0,,,3,,,,,4
ritchcl01,1903,PIT,NL,WS,8,27,2,3,1,0,0,2,,,1,,4,,,7,,,,,4
sebriji01,1903,PIT,NL,WS,8,30,3,11,0,1,1,3,,,0,,1,,,4,,,,,16
smithha03,1903,PIT,NL,WS,1,3,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
stahlch01,1903,BOS,AL,WS,8,33,6,10,1,3,0,3,,,2,,1,,,2,,,,,17
thompgu01,1903,PIT,NL,WS,1,1,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
veilbu01,1903,PIT,NL,WS,1,2,0,0,0,0,0,0,,,0,,0,,,2,,,,,0
wagneho01,1903,PIT,NL,WS,8,27,2,6,1,0,0,3,,,3,,3,,,4,,,,,7
youngcy01,1903,BOS,AL,WS,4,15,1,2,0,1,0,3,,,0,,0,,,3,,,,,4
amesre01,1905,NYG,NL,WS,1,0,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
bendech01,1905,PHA,AL,WS,2,5,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
bresnro01,1905,NYG,NL,WS,5,16,3,5,2,0,0,1,,,1,,4,,,0,,,,,7
brownge01,1905,NYG,NL,WS,5,22,2,4,0,0,0,1,,,2,,0,,,2,,,,,4
coaklan01,1905,PHA,AL,WS,1,2,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
crossla01,1905,PHA,AL,WS,5,19,0,2,0,0,0,0,,,0,,1,,,1,,,,,2
crossmo01,1905,PHA,AL,WS,5,17,0,3,0,0,0,0,,,0,,0,,,7,,,,,3
dahlebi01,1905,NYG,NL,WS,5,15,1,0,0,0,0,1,,,3,,3,,,2,,,,,0
davisha01,1905,PHA,AL,WS,5,20,0,4,1,0,0,0,,,0,,0,,,1,,,,,5
devliar01,1905,NYG,NL,WS,5,16,0,4,1,0,0,1,,,3,,1,,,3,,,,,5
donlimi01,1905,NYG,NL,WS,5,19,4,5,1,0,0,1,,,2,,2,,,1,,,,,6
gilbebi02,1905,NYG,NL,WS,5,17,1,4,0,0,0,2,,,1,,0,,,2,,,,,4
hartsto01,1905,PHA,AL,WS,5,17,1,5,1,0,0,0,,,2,,2,,,1,,,,,6
hoffmda01,1905,PHA,AL,WS,1,1,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
lordbr01,1905,PHA,AL,WS,5,20,0,2,0,0,0,2,,,0,,0,,,5,,,,,2
mathech01,1905,NYG,NL,WS,3,8,1,2,0,0,0,0,,,0,,1,,,1,,,,,2
mcganda01,1905,NYG,NL,WS,5,17,1,4,2,0,0,4,,,0,,2,,,7,,,,,6
mcginjo01,1905,NYG,NL,WS,2,5,0,0,0,0,0,0,,,0,,0,,,2,,,,,0
mertesa01,1905,NYG,NL,WS,5,17,2,3,1,0,0,2,,,0,,2,,,5,,,,,4
murphda02,1905,PHA,AL,WS,5,16,0,3,1,0,0,0,,,0,,0,,,2,,,,,4
planked01,1905,PHA,AL,WS,2,6,0,1,0,0,0,0,,,0,,0,,,2,,,,,1
powerdo01,1905,PHA,AL,WS,3,7,0,1,1,0,0,0,,,0,,0,,,0,,,,,2
schreos01,1905,PHA,AL,WS,3,9,2,2,1,0,0,0,,,0,,0,,,0,,,,,3
seyboso01,1905,PHA,AL,WS,5,16,0,2,0,0,0,0,,,0,,2,,,3,,,,,2
stransa01,1905,NYG,NL,WS,1,1,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
altroni01,1906,CHW,AL,WS,2,4,0,1,0,0,0,0,,,0,,1,,,1,,,,,1
brownmo01,1906,CHC,NL,WS,3,6,0,2,0,0,0,0,,,0,,0,,,4,,,,,2
